id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,reconstruction_error
1cqDWCPizEFBzWXGRGVipB,0.701,0.526,-7.682,0.104,0.351,3.33e-06,0.152,0.613,128.073,0.018332967534661293
51SRx7XbZbjU6fTADB6q1B,0.672,0.481,-7.775,0.0345,0.385,0.0,0.126,0.567,116.225,0.01900939643383026
5eJIUxDDOHcRhRoSFXm5gc,0.635,0.39,-12.198,0.0306,0.61,0.00735,0.269,0.419,101.16,0.01904389262199402
6HRygI2Osp3HxrWy5kwV7p,0.733,0.354,-9.876,0.0286,0.478,0.00422,0.125,0.46,103.0,0.0193946473300457
1MCDtET6FyzApUnk3ZkEmB,0.735,0.467,-10.273,0.0333,0.476,3.92e-06,0.22,0.482,130.018,0.019456643611192703
612qCFbMeFIeDupbFY38Ve,0.562,0.64,-5.047,0.0254,0.242,0.0,0.111,0.654,139.931,0.02180423215031624
7aLPLunrVAYd7zDpovqNAO,0.73,0.492,-8.797,0.147,0.3,0.0,0.147,0.521,119.992,0.022752121090888977
4cnO0iec95UnL8IGSwgaQZ,0.663,0.589,-8.384,0.0294,0.395,0.0,0.0825,0.602,126.991,0.02393435686826706
6HSCKjyGjvpOdDdZ7vEtsl,0.588,0.789,-3.737,0.0352,0.0947,0.0,0.073,0.544,147.926,0.025016969069838524
71H5EKC2lJfiV0FHAKqD4p,0.636,0.639,-4.432,0.0597,0.167,0.0,0.102,0.536,148.93,0.025299662724137306
6YysDeQCl33ZcN4YhLVDg9,0.661,0.589,-6.534,0.0464,0.221,0.0,0.059,0.572,123.864,0.026581112295389175
3e7wpTfabQx1dvl2Bqc9z9,0.633,0.44,-10.369,0.0244,0.548,7.33e-05,0.0926,0.31,96.003,0.02675025537610054
2NssnpSv6CFqDOeOapq9J6,0.584,0.256,-12.425,0.0314,0.705,0.0,0.149,0.422,82.388,0.02751135639846325
6RLh40iORdthZ2qzM5bxQ6,0.657,0.452,-10.23,0.0286,0.447,2.58e-05,0.203,0.548,127.982,0.027729181572794914
1NaRZHTb55ZxtGy1angMP8,0.528,0.483,-6.9,0.0507,0.32,1.21e-06,0.0725,0.39,111.957,0.028276722878217697
5J4tK2FbXQEeC0AsfFgwpz,0.67,0.819,-4.816,0.0825,0.0937,0.0,0.101,0.763,168.044,0.0288979671895504
00irtGVehXxI4D8XpyyG1x,0.575,0.931,-3.515,0.0709,0.0255,0.0117,0.116,0.68,165.915,0.03090127557516098
54I1fUw2jqUkKTtlHR10r5,0.643,0.57,-6.752,0.0731,0.139,3.64e-05,0.143,0.449,127.99,0.03113040328025818
57AIO2mH1B2uwOXhq02VaE,0.655,0.46,-7.886,0.0258,0.279,0.0,0.0934,0.389,102.942,0.03116968274116516
4kMUJqDs3q7z8WQpzchAbD,0.644,0.391,-8.038,0.0317,0.464,0.0,0.132,0.439,112.933,0.03134586289525032
3VAWO6JyLSLKNmIrih0vAW,0.772,0.386,-9.604,0.0352,0.511,0.0,0.121,0.48,116.002,0.03160320222377777
2sZNbeIkc7PkwUtpDW7Wte,0.619,0.39,-7.65,0.0282,0.425,0.0,0.115,0.38,107.686,0.032362669706344604
3q1GIW4LkZC1dCcXfNJykb,0.596,0.776,-4.63,0.0414,0.0622,0.000269,0.19,0.721,172.255,0.03252271190285683
4GDqwDVBIKsrnuSGc5O5og,0.498,0.571,-7.2,0.0337,0.338,6.44e-05,0.116,0.369,106.27,0.03261736035346985
7rfzdRlirosvtzbWXf0c0o,0.537,0.546,-7.227,0.0314,0.398,0.0,0.153,0.48,100.503,0.033334601670503616
3A5nugLtpMhfrDf0zHCh00,0.604,0.406,-12.874,0.0304,0.587,0.0149,0.105,0.419,92.542,0.03397878259420395
2SWWGUyxXn8QTTEDDfDfqy,0.59,0.495,-7.527,0.0275,0.287,2.85e-05,0.287,0.612,122.615,0.03420045226812363
1AMYR7ysYxfunEOqxYduaJ,0.542,0.251,-11.531,0.0259,0.671,1.06e-06,0.092,0.377,81.127,0.0346444696187973
6prwnW2jF3pFp4DOBpeMEF,0.513,0.911,-3.294,0.0576,5.76e-05,0.0,0.0961,0.703,170.045,0.03605780377984047
4Il2bKT8W9ve7KpMjYcp6a,0.65,0.592,-6.193,0.112,0.372,0.0,0.0866,0.58,135.971,0.03624909743666649
6OUpPRqpE4WaA6F80J08SG,0.596,0.571,-7.821,0.0248,0.302,2.56e-05,0.0934,0.391,101.93,0.03689153864979744
0dKCtdoAH23AWJ5FBVbMmH,0.547,0.629,-5.487,0.0378,0.1,1.69e-05,0.184,0.516,147.001,0.03735681623220444
64LP4oTxEweNfKTCTGLhtg,0.59,0.74,-6.293,0.0314,0.167,0.0,0.109,0.475,137.952,0.03789978101849556
4g9s3hQNtB1EzPNh7a2MW1,0.623,0.401,-13.359,0.039,0.659,0.000615,0.304,0.329,91.171,0.03811660408973694
19XkcBPa5fZRMYwqhjwlkQ,0.554,0.774,-5.422,0.0394,0.164,0.0,0.105,0.697,142.522,0.03859242424368858
562DtQsRTpV4zay0tSxHCV,0.747,0.532,-8.897,0.0365,0.286,0.0016,0.103,0.634,136.962,0.03894885629415512
5YAPyAVGtIBd9UAi3ox8SM,0.722,0.548,-11.142,0.0286,0.526,0.000383,0.0563,0.496,122.162,0.03895467519760132
6szOfaZn6H3rZXnUqgJ4R7,0.521,0.701,-5.238,0.0458,0.0892,0.0,0.0876,0.518,127.087,0.03935997188091278
5lGimjX5CT7gL0kwB1AqQF,0.544,0.921,-3.93,0.0505,0.00348,0.0,0.215,0.65,165.949,0.039595797657966614
636y223sbqgNNVeH7s5qkp,0.637,0.547,-8.637,0.0365,0.316,0.0,0.131,0.48,137.989,0.039610832929611206
28GkKf2CUe0Gw3Q2n8FnyV,0.451,0.504,-8.753,0.0314,0.436,0.0,0.176,0.37,102.08,0.039744872599840164
7hKcJWiTSQ5C7DswfkJKIa,0.539,0.876,-3.081,0.0519,0.0953,0.0,0.115,0.525,161.92,0.03996158391237259
3snCUIDipfcnwhyIfeDe8f,0.702,0.661,-5.534,0.188,0.109,0.0,0.0956,0.648,156.013,0.04030561447143555
0TivDMy5s82JjsGsd2ZRvm,0.459,0.485,-7.885,0.0619,0.445,0.0068,0.07,0.388,95.49,0.04030756652355194
2JDlXAylqXCEdNznaDjfBC,0.795,0.681,-7.997,0.0326,0.412,0.000969,0.136,0.703,145.005,0.04043354466557503
0PLJTdttgoW06mVYt1HQlW,0.768,0.571,-6.325,0.0368,0.138,0.0,0.182,0.594,131.979,0.04060693085193634
7aRVF1U72PPCTJiSX2vRpd,0.556,0.726,-5.054,0.0312,0.139,0.0,0.106,0.441,142.107,0.04061482101678848
7u8DnvQKFhscojQOMVJSNS,0.631,0.7,-5.409,0.207,0.125,1.52e-05,0.0795,0.636,151.431,0.04066270962357521
5dZCcuFhaQ1s26pe6Ep4yP,0.637,0.543,-4.884,0.03,0.312,0.0,0.16,0.591,132.035,0.040675777941942215
6eXNZLPoIikMlKuo1lKBAa,0.46,0.643,-4.317,0.0307,0.0161,0.00675,0.127,0.506,130.31,0.04105479270219803
5rmHtbUCbjFqmeoOuP9b7B,0.748,0.662,-6.816,0.0306,0.155,3.8e-05,0.116,0.487,146.981,0.041080355644226074
1AvuKMO42RI0UZ6avl190M,0.503,0.36,-9.027,0.0264,0.543,6.28e-06,0.0938,0.35,74.033,0.042725346982479095
5Y1nDHK2sRssiODgho8uMn,0.779,0.581,-7.472,0.0312,0.228,1.36e-05,0.124,0.452,120.012,0.04309717193245888
1kPu5pLg6TVpzDzuezzuD2,0.607,0.465,-8.224,0.0312,0.276,3.87e-05,0.113,0.302,102.031,0.04312535375356674
03MkjS5dsKLFHyJlkB1pls,0.534,0.565,-7.224,0.0285,0.178,0.000102,0.223,0.554,136.889,0.04320463910698891
6eipQrmTw1N3nUfgLlEa2R,0.599,0.431,-8.039,0.0413,0.416,0.0,0.104,0.387,83.684,0.04325694963335991
3tL1qRqVqYYaKvar8hhgpP,0.793,0.817,-4.033,0.0943,0.103,8.35e-05,0.0844,0.642,157.654,0.04340744391083717
2TuNVD5u5iAslHp0moLlTn,0.436,0.554,-6.635,0.0341,0.237,0.0,0.116,0.396,100.059,0.043487317860126495
6AYZI8vIEuJXOzIrH5QKoN,0.747,0.537,-8.749,0.064,0.446,0.0,0.194,0.313,116.535,0.04353726655244827
2IM8UcsHElXjQkkhlOuODo,0.716,0.535,-7.656,0.0432,0.344,1.85e-05,0.123,0.337,124.011,0.043711453676223755
5wQci5VCUjdbKnRD61XYwu,0.577,0.446,-11.343,0.0313,0.554,0.0782,0.116,0.262,81.005,0.044170819222927094
4hZFvDJtUZINV1Xr4RAAob,0.732,0.672,-5.629,0.0348,0.243,0.0,0.151,0.495,124.053,0.044946759939193726
2R4B5jDPvxVR09SQGLyDFP,0.61,0.82,-5.035,0.0332,0.101,1.8e-06,0.212,0.776,152.091,0.04507496953010559
4Y7AUOGUlmNO40wLRHyMMv,0.723,0.633,-5.23,0.109,0.258,0.000355,0.284,0.626,145.112,0.04517577961087227
7GxR3PuiqFiOvzT4TEZYJy,0.418,0.54,-6.141,0.0314,0.193,0.0,0.145,0.389,114.849,0.04639805853366852
7vkIGlxWVnCavsiMkNHza3,0.593,0.588,-3.787,0.0282,0.205,0.0,0.073,0.637,125.988,0.04643223062157631
1HZLnRHP27cOrG6zwQ3sdb,0.622,0.79,-5.512,0.0293,0.0984,0.000257,0.222,0.508,134.032,0.04651489853858948
167SnokOWUPXatlXlb7VZJ,0.784,0.434,-9.598,0.12,0.574,0.00521,0.122,0.502,121.987,0.04655156284570694
6I9zImRCnKPXFMdyQblfKW,0.45,0.365,-8.261,0.0249,0.45,0.0,0.133,0.242,81.983,0.04699651896953583
0gWznpqmibGfEbEnbL1NKV,0.448,0.238,-11.889,0.0305,0.792,0.0,0.0811,0.38,65.294,0.04705696925520897
0zC0r8BmlZxHRSozlhf3wO,0.63,0.63,-7.525,0.0364,0.295,1.26e-05,0.0934,0.517,107.103,0.047212257981300354
4eorTN87IvIkjNI6gSO2Pi,0.518,0.666,-3.535,0.147,0.0128,0.0607,0.239,0.625,160.173,0.04732242971658707
6ZShReTf4SiT7LYXnRCks0,0.51,0.903,-3.898,0.0618,0.0335,0.0,0.119,0.709,165.74,0.0480039156973362
5ylUYuGNxfHNOScYOlqOWq,0.594,0.426,-9.699,0.0258,0.537,0.0,0.252,0.514,91.353,0.048173971474170685
7K3rRx00hcS6MpZmYGUFH2,0.561,0.861,-3.04,0.0358,0.000348,0.0,0.0852,0.542,141.909,0.04841586574912071
4rmQdz7qbI5CEzSpy1Puq2,0.773,0.359,-9.92,0.134,0.434,0.0,0.155,0.299,105.904,0.04849693924188614
3xltN99Cj2KF5AZFhjDibh,0.54,0.688,-5.366,0.0304,0.0732,0.0,0.0804,0.524,143.888,0.04859703406691551
